読み,よみ,reading
適度,てきど,moderate (degree); proper (amount); temperate; suitable
うさぎ,兎,rabbit; hare; coney; cony; lagomorph (esp. leporids)
倒す,たおす,to throw down; to bring down; to blow down; to fell; to knock down; to set (something) down on its side; to turn (something) on its side / to kill; to defeat; to beat / to overthrow; to trip up; to ruin / to leave unpaid; to cheat
当たる,あたる,"to be hit; to strike / to touch; to be in contact; to be affixed / to be equivalent to; to be applicable; to apply to / to be right on the money (of a prediction, criticism, etc.) / to be selected (in a lottery, etc.); to win / to be successful; to go well; to be a hit / to face; to confront / to lie (in the direction of) / to undertake; to be assigned / to be stricken (by food poisoning, heat, etc.); to be afflicted / to be called upon (by the teacher) / to treat (esp. harshly); to lash out at / to be unnecessary / to be hitting well; to be on a hitting streak / (in fishing) to feel a bite / (of fruit, etc.) to be bruised; to spoil / to feel (something) out; to probe into; to check (i.e. by comparison) / to shave / to be a relative of a person; to stand in a relationship"
等しい,ひとしい,equal; identical; the same / no different (to); just like; equivalent
答案,とうあん,examination paper; examination script; answer sheet / answer (to an exam question)
動かす,うごかす,to move; to shift; to stir; to budge; to change position / to inspire; to rouse; to move (e.g. feeling); to influence / to change; to alter; to deny / to operate; to set in motion; to get going / to mobilize (e.g. troops); to mobilise; to deploy / to manage (e.g. funds)
動詞,どうし,verb
得る,うる,to be able to ...; can ... / to get; to acquire; to obtain; to procure; to earn; to win; to gain; to secure; to attain
縄,なわ,rope; cord / policeman's rope
認める,みとめる,to recognize; to recognise; to observe; to notice / to deem; to judge; to assess / to approve; to deem acceptable; to allow / to admit; to accept; to confess (to a charge) / to watch steadily; to observe carefully / to renown; to give renown to; to appreciate; to acknowledge
熱中,ねっちゅう,being enthusiastic about; being wild about; being absorbed in; being engrossed in; being devoted to
年中,ねんじゅう,"whole year; all year round; throughout the year / always; all the time; perpetually / during an era / middle class (of a nursery school, etc.)"
燃える,もえる,to burn; to get fired up
悩む,なやむ,to be worried; to be troubled
濃い,こい,"deep (colour); dark / strong (flavour, smell, etc.) / thick (consistency); dense / strong (possibility, etc.) / thick (i.e. ""as thick as thieves"); close; deep (love, etc.)"
発車,はっしゃ,"departure (of a train, car, etc.); starting; leaving"
発明,はつめい,invention / intelligent; clever / being enlightened; having the meaning of everything become clear
髪の毛,かみのけ,hair (head)
罰する,ばっする,to punish; to penalize; to penalise
反抗,はんこう,opposition; resistance; insubordination; defiance; hostility; rebellion
悲しむ,かなしむ,to be sad; to mourn for; to regret
かぶる,被る,"to put on (one's head); to wear; to have on; to pull over (one's head); to crown (oneself) / to be covered with (dust, snow, etc.); to pour (water, etc.) on oneself; to dash on oneself; to ship water / to bear (e.g. someone's debts, faults, etc.); to take (blame); to assume (responsibility); to shoulder (burden) / to overlap (e.g. sound or color) / to be similar; to be redundant / to be fogged (due to overexposure, etc.) / to close; to come to an end / to get a full house; to sell out / to blunder; to bungle; to fail / to be deceived"
飛ばす,とばす,to let fly; to make fly; to send flying; to blow off (e.g. in the wind); to launch; to fire; to hurl; to shoot / to skip over; to leave out; to omit; to drop (e.g. a stitch) / to run fast; to drive fast; to gallop / to spray; to splash; to spatter / to say without reservation; to call out (e.g. a jeer); to rattle of (e.g. a joke) / to spread (e.g. a rumour); to circulate; to send out (a message); to issue (e.g. an appeal) / to transfer (to a less important post); to send away (e.g. to a provincial branch); to demote / to dispatch quickly (e.g. a reporter) / to get rid of; to burn off (alcohol) / to attack (e.g. with a leg manoeuvre) / to do vigorously; to do roughly; to do energetically
膝,ひざ,knee / lap; knee and thigh (while sitting)
紐,ひも,string; cord / man who is financially dependent on a woman; gigolo; pimp
秒,びょう,second (unit of time)
貧しい,まずしい,poor; needy / lacking (quantity and quality-wise); poor; scanty; skimpy; slight; inadequate
不可,ふか,wrong; bad; improper; unjustifiable; inadvisable / not allowed; not possible / failing grade
不平,ふへい,discontent; dissatisfaction; complaint; grievance
腐る,くさる,to rot; to go bad; to decay; to spoil; to fester; to decompose; to turn sour (e.g. milk) / to corrode; to weather; to crumble / to become useless; to blunt; to weaken (from lack of practice) / to become depraved; to be degenerate; to be morally bankrupt; to be corrupt / to be depressed; to be dispirited; to feel discouraged; to feel down / to have the audacity to; to be bastard enough to / to lose a bet / to be drenched; to become sopping wet
物音,ものおと,sounds
閉じる,とじる,"to close (e.g. book, eyes, meeting, etc.); to shut"
癖,くせ,"habit (often a bad habit, i.e. vice); tendency / peculiarity; idiosyncrasy; mannerism / crease; wrinkle; curl; kink"
あたり,辺り,"on the bank of; by the side of (e.g. a river, pond) / (in the) neighbourhood; neighborhood; vicinity; nearby / around (Sunday, last year, etc...) / for instance"
つかまる,捕まる,to be caught; to be arrested / to hold on to; to grasp / to find (e.g. proof); to get (e.g. a taxi) / to be detained by
暮らす,くらす,to live; to get along / to spend (time)
包み,つつみ,bundle; package; parcel / counter for wrapped objects
放す,はなす,"to release; to let go; to free; to set free; to let loose; to turn loose / to add (pieces of eggplant, potato, etc.) to water, broth, etc."
防ぐ,ふせぐ,to defend against; to protect against / to prevent; to avert; to avoid
万一,まんいち,emergency; unlikely event / by some chance; by some possibility
夢中,むちゅう,absorbed in; immersed in; crazy about; obsessed with; devoted to / forgetting oneself; daze; trance; ecstasy; delirium / within a dream; while dreaming
なし,無し,without / unacceptable; not alright; unsatisfactory
無駄,むだ,futility; waste; uselessness; pointlessness; idleness
命じる,めいじる,to order; to command / to appoint
迷子,まいご,lost child; lost person; stray child; missing child
戻す,もどす,"to put back; to return; to give back; to restore (to a previous state, e.g. defrosting, reconstituting, reconciling); to turn back (e.g. clock hand) / to vomit; to throw up / to recover (of a market price)"
もらう,貰う,to receive; to take; to accept / to get somebody to do something
厄介,やっかい,trouble; burden; nuisance; bother; worry / care; dependence; support; kindness; obligation; staying (with a person)
約,やく,approximately; about / promise / shortening; reduction; simplification / contraction (in phonetics)
愉快,ゆかい,pleasant; delightful; enjoyable; joyful; cheerful; amusing; happy
ただ,唯,ordinary; common; usual / free of charge / unaffected; as is; safe / only; merely; just; simply / but; however; nevertheless
有能,ゆうのう,able; capable; competent; talented; efficient
予期,よき,expectation; assume will happen; forecast
余分,よぶん,extra; excess; surplus
与える,あたえる,to give (esp. to someone of lower status); to bestow; to grant; to confer; to present; to award / to provide; to afford; to offer; to supply / to assign / to cause / to pass (a variable to a function)
預ける,あずける,to leave (in someone's keeping); to put (in someone's care); to place (in someone's custody); to entrust (someone) with; to deposit / to put (someone) in charge of; to leave (a matter) in someone's hands; to let (someone) decide / to lean on; to put one's weight on
幼い,おさない,very young / childish; immature
用いる,もちいる,to use; to make use of; to utilize; to utilise
用心,ようじん,care; precaution; guarding; caution
要点,ようてん,gist; main point
陽気,ようき,cheerful; jovial; merry; lively / weather; season / spirit of yang
利口,りこう,"clever; intelligent; wise; bright; sharp; sensible; smart; shrewd / well-behaved (of kids, animals, etc); obedient; good / good (with words)"
裏切る,うらぎる,to betray; to turn traitor to; to double-cross
離す,はなす,to separate; to part; to divide; to keep apart
立ち上がる,たちあがる,to stand up; to get up / to rise / to recover / to take action; to start / to make the initial charge / to start up; to boot up
ほぼ,略,almost; roughly; approximately
流れる,ながれる,"to stream; to flow (liquid, time, etc.); to run (ink) / to be washed away; to be carried / to drift; to float (e.g. clouds); to wander; to stray / to sweep (e.g. rumour, fire); to spread; to circulate / to be heard (e.g. music); to be played / to lapse (e.g. into indolence, despair) / to pass; to elapse; to be transmitted / to be called off; to be forfeited / to disappear; to be removed"
両替,りょうがえ,change; money exchange
礼儀,れいぎ,manners; courtesy; etiquette
劣る,おとる,to be inferior to; to be less good at; to fall behind
連れ,つれ,companion; company
連想,れんそう,association (of ideas); being reminded (of something); suggestion
論じる,ろんじる,to discuss; to talk about; to deal with (a topic) / to argue; to dispute / to take into consideration; to make an issue of
脇,わき,armpit; under one's arm; side; flank / beside; close to; near; by / aside; to the side; away; out of the way / off-track; off-topic / deuteragonist; supporting role / second verse (in a linked series of poems)
贅沢,ぜいたく,luxury; extravagance / to live in luxury; to indulge oneself / lavish (use of something); abundant; copious; wasteful
おる,居る,to be (animate); to be; to exist / to be ..ing / to (have the audacity to) do
最中,さいちゅう,in the middle of; height of; in course of; midst
注ぐ,そそぐ,"to pour (into) / to sprinkle on (from above); to water (e.g. plants); to pour onto; to spray / to shed (tears) / to concentrate one's energy (strength, attention, etc.) on; to devote to; to fix (one's eyes) on / to flow into (e.g. of a river); to run into; to drain into / to fall (of rain, snow); to pour down"
転ぶ,ころぶ,to fall down; to fall over / to turn out; to play out / to abandon Christianity (and convert to Buddhism); to apostatize / to roll; to tumble / (for a geisha) to prostitute (herself) in secret
年月,としつき,months and years
頬,ほお,cheek (of face)
飽きる,あきる,to get tired of; to lose interest in; to be fed up with; to have enough
ある,或,a certain ...; some ...
暗記,あんき,memorization; memorisation; learning by heart
追いつく,おいつく,to catch up (with); to draw level; to pull even; to reach / to be compensated; to make up for one's losses
収める,おさめる,to dedicate; to make an offering; to pay (fees) / to supply / to store / to finish; to bring to a close / to restore (something to its place) / to achieve (e.g. a result)
恐れる,おそれる,to fear; to be afraid of
換える,かえる,to replace / to exchange; to interchange / to substitute
かご,籠,"basket (shopping, etc.); hamper; cage"
幸運,こううん,good luck; fortune
凍る,こおる,to freeze; to be frozen over; to congeal
小包,こづつみ,parcel; package
少々,しょうしょう,just a minute; small quantity
勧める,すすめる,"to recommend (someone to do); to advise; to encourage; to urge / to recommend (a book, someone for a position, etc.); to suggest / to offer (a drink, cigarette, seat, etc.)"
退屈,たいくつ,tedium; boredom; dullness / to feel bored; to get bored with; to get tired of
戦う,たたかう,"to make war (on); to wage war (against); to go to war (with); to fight (with); to do battle (against) / to compete (against) / to struggle (against adversities, etc.); to fight; to contend; to resist"
例え,たとえ,example / simile; metaphor; allegory; fable; parable
たびたび,度々,often; again and again; over and over again; repeatedly; frequently
頼る,たよる,to rely on; to depend on; to count on; to turn to (for help)
出会う,であう,"to meet (by chance); to come across; to run across; to encounter; to happen upon / to meet (e.g. of rivers, highways, etc.) / to emerge and engage (an enemy)"
のど,喉,throat / singing voice
伸ばす,のばす,"to grow long (e.g. hair, nails) / to lengthen; to extend; to stretch / to reach out; to hold out / to straighten; to smooth out / to spread evenly (dough, cream, etc.) / to dilute; to thin out / to postpone / to prolong / to strengthen; to develop; to expand"
計る,はかる,"to measure; to weigh; to survey; to time (sound, gauge, estimate) / to conjecture; to infer; to surmise"
激しい,はげしい,violent; furious; tempestuous / extreme; intense; fierce; strong / fervent; vehement / incessant; relentless / precipitous; steep
ばか,馬鹿,fool; idiot / trivial matter; folly; absurdity / foolish; stupid; dull; absurd; ridiculous / Mactra chinensis (species of trough shell)
引っ張る,ひっぱる,to pull; to draw; to pull tight / to string (lines); to run (cable); to stretch / to pull towards oneself (e.g. someone's sleeve) / to drag; to haul; to tow / to lead (e.g. one's followers) / to take someone somewhere (e.g. a suspect to the police) / to tempt into joining; to strongly invite to join / to delay; to prolong / to lengthen the pronunciation (of a word) / to quote; to cite; to reference / to pull the ball / to wear; to put on
広がる,ひろがる,to spread (out); to extend; to stretch; to reach to; to get around; to fill (e.g. a space)
満ちる,みちる,to be full / to wax (e.g. moon) / to rise (e.g. tide) / to mature; to expire
虫歯,むしば,cavity; tooth decay; decayed tooth; dental caries
基づく,もとづく,to be grounded on; to be based on; to be due to; to originate from
雇う,やとう,to employ / to hire; to charter
決まり,きまり,rule; regulation / settlement; conclusion; end; agreement; arrangement / habit; custom; habitual way / countenance in front of another person; face / love relationship between a customer and a prostitute
対する,たいする,"to face (each other); to be facing / to be directed toward (the future, etc.); to be in response to; to be related to / to receive (a client, etc.) / to compare with; to contrast with; to be in opposition with; to be opposed to / to confront; to oppose; to compete with"
つまり,詰まり,"that is to say; that is; in other words; I mean; that (this, it) means / in short; in brief; to sum up; ultimately; in the end; in the long run; when all is said and done; what it all comes down to; when you get right down to it; basically / clogging; obstruction; stuffing; (degree of) blockage / shrinkage / end; conclusion / dead end; corner / distress; being at the end of one's rope"
途端,とたん,"just (now, at the moment, etc.); just as; in the act of; as soon as; at the moment that"
眺め,ながめ,scene; view; prospect; outlook
なんで,何で,why?; what for? / how?; by what means?
一人一人,ひとりひとり,one by one; each; one at a time
アイスクリーム,,ice cream; icecream
アイロン,,iron (for pressing clothes) / hair iron; hair tong; curling tong
アウト,,"out (in baseball, tennis, etc.) / outer; external; outside / no good; out of line; unacceptable; failure"
アルバム,,album
インク,,ink
エネルギー,,energy / strength; power; stamina; get-up-and-go / food energy; calories
エンジン,,engine
カード,,card / curd / match; game; grouping in a competition or tournament
キャンプ,,camp
クラシック,,classical music / classic; classical / classic (work); the classics
クリーム,,cream
クリスマス,,Christmas
グラス,,glass (drinking vessel) / glass / glasses / grass
グループ,,group (usu. of people)
ケース,,"case (e.g. receptacle, condition, event, legal action, letter style, etc.) / Computer-Aided Software Engineering; CASE"
ゲーム,,game
コーチ,,coach
コード,,code / cord / chord
ゴール,,goal; basket (basketball); finishing line; winning post / Gaul
サービス,,service; help; assistance; care; concern / discount; freebie; free gift / (after-sales) service; servicing; (product) maintenance / service (e.g. in tennis); serve
サイン,,autograph; signature / sign / sine
ジュース,,"juice / soft drink (any (sweet) non-alcoholic beverage, carbonated or uncarbonated) / deuce"
スープ,,(Western) soup
スイッチ,,switch
スキー,,skiing / ski; skis
スケート,,skating (esp. ice); skate; skates
スター,,"star (cinema, sports, etc.); celebrity; idol / star symbol; asterisk / (celestial) star"
スタイル,,figure; body build / style
スタンド,,stands; bleachers / stand (e.g. newspaper stand); counter (e.g. lunch counter) / stand (e.g. inkstand) / desk lamp; floor lamp; standard lamp / station (e.g. gas station)
スピーチ,,speech
セット,,set / set meal; combo-meal; combo; combination meal / hairdo
センター,,centre; center
タイプライター,,typewriter
タオル,,towel
ダイヤ,,diamond / (railway) schedule; timetable / diagram
ダンス,,dance
チーズ,,cheese / tee (piping); T-joint / cheese (expression used when taking a photograph)
チーム,,team
チャンス,,chance; opportunity
テント,,tent
デート,,date; go on a date
デモ,,demonstration; protest / (giving a) demo; demonstration; presentation
トップ,,top / top position / senior management; senior bureaucrat
トラック,,"truck; lorry / track (running, CD, etc.) / track events"
トランプ,,playing cards
トンネル,,tunnel / to tunnel (through a potential barrier) / letting a grounder go through one's legs
ドライブ,,"drive; trip by car; driving / to (go for a) drive; to go on a trip by car / to drive (e.g. a car) / to drive (innovation, change, etc.); to propel / drive"
ドラマ,,drama / TV drama; teledrama; play
ドレス,,dress
ノック,,knock; knocking / fungo hitting; hitting balls for fielding practice
ハイキング,,hiking
ハンサム,,handsome
バイオリン,,violin
バッグ,,bag
パーセント,,percent; percentage
パイプ,,"pipe; tube / channels, official or otherwise; (business) connections / tobacco pipe"
パイロット,,pilot
パスポート,,passport
ビデオ,,video
ピクニック,,picnic
ピン,,"pin (e.g. hairpin, bowling pin, golf pin, etc.) / one (on dice, in cards, etc.) / beginning; best / kickback"
ブレーキ,,brake
プラス,,plus; addition / positive number / gain; advantage; asset; positive feature / anode; plus terminal; positive pole / + shape
プラン,,plan
プロ,,professional
ベルト,,"belt (waist, seat, etc.); strap / belt; zone; area / drive belt; machine belt"
ベンチ,,bench
ペンキ,,paint
ホーム,,platform / home
ボーイ,,boy / bellboy; porter; waiter
ボート,,boat; rowing boat
ボール,,"ball / ball (pitch that falls outside of the strike zone) / bowl / board (cardboard, pasteboard, etc.)"
マーケット,,market
マイク,,mike; mic; microphone
ママ,,"mama; mamma; mom; mommy; mum; mummy; mother / female proprietress (of a bar, etc.)"
ミス,,mistake; error; failure / Miss / myth
ミルク,,milk
メモ,,memo; note; memorandum
メンバー,,member; participant; attendee; lineup (sport)
ユーモア,,humor; humour
ヨット,,yacht (usually only used for a sailing boat with one mast); sailing boat; sailboat
ライター,,lighter / writer
ラケット,,racket; paddle (in table-tennis)
ロケット,,rocket / locket
ワイン,,wine
持ち上げる,もちあげる,to elevate; to raise; to lift up / to flatter; to extol; to praise to the sky
ころ,頃,(approximate) time; around; about; toward / suitable time (or condition) / time of year; season
日本,にほん,Japan
なかなか,中中,very; considerably; easily; readily; fairly; quite; highly; rather / by no means; not readily / middle; half-way point / excellent; wonderful; very good
あちこち,彼方此方,here and there; all around; everywhere; throughout; all over / to get things in the wrong order (back to front); to become muddled up
お昼,おひる,lunch / noon; midday / daytime / waking up; getting up; rising
ビール,,beer
いけない,行けない,wrong; not good; of no use / hopeless; past hope / must not do
おしゃべり,お喋り,chattering; talk; idle talk; chat; chitchat; gossip / chatty; talkative; chatterbox; blabbermouth
かもしれない,かも知れない,may; might; perhaps; may be; possibly
がっかり,,feel disappointed; dejected; lose heart; feel emotionally drained; feel let down
きちんと,,properly; accurately; exactly; precisely; regularly / neatly; tidily; orderly
きつい,,"tough; hard; severe; demanding; harsh / determined; strong-minded; forceful; formidable; fierce / strong (e.g. sunlight, alcohol); severe; intense / (too) tight; constricting; close / extreme; unusually strong"
ぐっすり,,soundly (sleeping); fast (asleep)
こんなに,,so; like this; in this way
さっぱり,,feeling refreshed; feeling relieved / neat; tidy; clean / frank; open-hearted; plain; simple; light / completely; entirely / not in the least (with neg. verb); not at all / nothing at all; completely useless; hopeless; awful
ざっと,,roughly; approximately; round about; more or less / cursorily; briefly; quickly; lightly; roughly
しきりに,頻りに,frequently; repeatedly; often; incessantly; constantly / strongly; eagerly
しばしば,屡々,often; again and again; frequently; repeatedly
しまった,仕舞った,damn it!; damn!; oops!; oh dear!; oh no!
じっと,凝乎と,"motionlessly (e.g. stand, wait); (be) still / fixedly (e.g. gaze, stare); intently (e.g. listen, think) / patiently (endure); stoically / firmly (e.g. hold); restrained"
ずっと,,"continuously in some state (for a long time, distance); throughout; all along; the whole time; all the way / much (better, etc.); by far; far and away / far away; long ago / direct; straight"
そして,然して,and; and then; thus; and now; and finally
そのうち,その内,before very long; soon; someday; one of these days; sooner or later / of the previously mentioned; of that number; among them; among others
それとも,其れ共,or; or else
たった,,only; merely; but; no more than
たっぷり,,full; in plenty; ample
ちゃんと,,diligently; seriously; earnestly; reliably; steadily; legitimately / perfectly; properly; exactly; orderly; punctually; regularly / sufficiently; satisfactorily / quickly
ですから,,so; therefore
ところが,所が,even so; however; still; whereupon; even though; nevertheless; on the contrary; as a matter of fact; despite
とんでもない,とんでも無い,unthinkable; unexpected; outrageous; offensive; terrible / absolutely not!; not at all!; far from it!; impossible!; preposterous!; what a thing to say!; no way!; bullshit / don't mention it; you're welcome
どんな,,"what; what kind of / (with -temo, demo, etc.) any(body, thing, means, etc.)"
どんなに,,how; how much
なぜなら,何故なら,because; the reason is; if you want to know why
のんびり,,carefree; at leisure
ぴったり,,tightly; closely / exactly; precisely / suddenly (stopping) / perfectly (suited); ideally
ぼんやり,,dimly; faintly; indistinctly; vaguely / absentmindedly; vacantly; carelessly / idly; aimlessly / absence of mind; fool; blockhead; dunce
まあ,,"just (e.g. ""just wait here"); come now; now, now / tolerably; passably; moderately; reasonably; fairly; rather; somewhat / well...; I think...; it would seem...; you might say...; Hmmm, I guess so... / oh!; oh dear!; oh, my!; wow!; goodness gracious!; good heavens!"
やがて,軈て,before long; soon / almost; nearly / finally; in the end; eventually
ウイスキー,,whisky; whiskey
ジェット機,ジェットき,jet aeroplane; jet airplane
ソファ,,sofa; couch
いたずら,悪戯,"mischief; prank; trick; practical joke / pastime; hobby / playing with (a lighter, etc.); fooling around with; messing around with; amusing oneself with; tampering with / lewd behaviour; sexual misconduct; sexual assault; molestation; rape"
案,あん,idea; plan; proposal; suggestion; (government) bill / draft; rough copy / expectation / desk; stand
位,くらい,"throne; crown; (nobleman's) seat / government position; court rank / social standing; rank; class; echelon; rung / grade (of quality, etc.); level; tier; rank / digit (e.g. the tens, the hundreds, etc.); place / degree; extent; amount"
隠れる,かくれる,to hide; to be hidden; to conceal oneself; to disappear
いつまでも,何時までも,forever; for good; eternally; as long as one likes; indefinitely; no matter what
どこか,何処か,somewhere; anywhere; in some respects
可愛らしい,かわいらしい,lovely; sweet
わがまま,我が儘,selfish; egoist / self-indulgent; wilful; willful
会,かい,meeting; assembly; party / association; club
解く,とく,"to untie; to unfasten; to unwrap; to undo; to unbind; to unpack / to unsew; to unstitch / to solve; to work out; to answer / to dispel (misunderstanding, etc.); to clear up; to remove (suspicion); to appease / to dissolve (a contract); to cancel; to remove (a prohibition); to lift (a ban); to raise (a siege) / to release (from duty); to relieve; to dismiss / to comb (out); to card; to untangle (hair)"
解ける,とける,"to be solved / to loosen; to come untied / to be removed (e.g. restrictions); to be cleared (e.g. misunderstandings); to be broken (e.g. spells, curses) / to melt"
けが,怪我,injury (to animate object); hurt
灰,はい,ash; ashes
角,つの,horn; antler / antenna; feeler; tentacle (e.g. of a snail) / horn-like projection (e.g. peaks of whipped cream)
額,ひたい,forehead; brow
たまらない,堪らない,intolerable; unbearable; unendurable / irresistible; tremendous; out of this world / cannot help (doing); cannot but do; anxious to do
間,ま,time; pause / space / room
丸,まる,"circle / entirety; whole; full; complete / money; dough; moola / enclosure inside a castle's walls / soft-shelled turtle / suffix for ship names; suffix for names of people (esp. infants); suffix for names of swords, armour, musical instruments, etc.; suffix for names of dogs, horses, etc."
まるで,丸で,quite; entirely; completely; at all / as if; as though; just like
嬉しい,うれしい,happy; glad; pleasant
輝く,かがやく,to shine; to glitter; to sparkle
よろしい,宜しい,good; OK; all right; fine; very well; will do; may; can
詰める,つめる,"to stuff into; to jam; to cram; to pack; to fill; to plug; to stop up / to shorten; to move closer together / to reduce (spending); to conserve / to focus intently on; to strain oneself to do / to work out (details) / to be on duty; to be stationed / to corner (esp. an opponent's king in shogi); to trap; to checkmate / to cut off (one's finger as an act of apology); to catch (one's finger in a door, etc.) / to continue ...; to keep doing ... without a break / to do ... completely; to do ... thoroughly / to force someone into a difficult situation by ..."
求める,もとめる,to want; to wish for / to request; to demand / to seek; to search for; to pursue (pleasure); to hunt (a job) / to purchase; to buy
旧,きゅう,ex-; former; old
わずか,僅か,only; merely; (a) little; small quantity
近頃,ちかごろ,lately; recently; nowadays
金,かね,money / metal
金,きん,"gold (Au); golden (color); gold (medal, cup) / valuable; of highest value / money; gold coin / Friday / metal (fourth of the five elements) / Jin (dynasty of China; 1115-1234 CE) / gold general / testicles / karat; carat"
つなぐ,繋ぐ,to connect; to link together / to tie; to fasten; to restrain / to maintain; to preserve; to keep / to transfer (phone call); to put a person through / to hedge; to buy or sell forward
欠ける,かける,to be chipped; to be damaged; to be broken / to be lacking; to be missing / to be insufficient; to be short; to be deficient; to be negligent toward / (of the moon) to wane; to go into eclipse
月,つき,moon / month
県,けん,prefecture (of Japan) / county (of China)
原,はら,field; plain; prairie; tundra; moor; wilderness
ことわざ,諺,proverb; saying; aphorism; maxim
のち,後,later; afterwards; since / future / after one's death / descendant
おめでとう,お目出度う,congratulations!; an auspicious occasion!
向く,むく,"to turn toward; to look (up, down, etc.) / to face (e.g. east); to look out on / to point to / to be suited to; to be fit for / to go in the direction of; to lean towards (of a feeling)"
向ける,むける,to turn towards; to point
今にも,いまにも,at any time; soon
こんにちは,今日は,hello; good day; good afternoon
済ませる,すませる,to finish; to make an end of; to get through with; to let end
すみません,済みません,excuse me; pardon me; I'm sorry / thank you
札,さつ,note; paper money
しまう,仕舞う,"to finish; to stop; to end; to put an end to; to bring to a close / to close (a business, etc.); to close down; to shut down; to shut up / to put away; to put back; to keep; to store / to finish ...; to do ... completely"
市,いち,market; fair
支える,ささえる,to support; to prop; to sustain; to underlay; to hold up; to defend / to hold at bay; to stem; to check
よす,止す,to cease; to desist; to cut it out; to lay off (an activity); to drop (a subject) to abolish; to resign; to give up
式,しき,equation; formula; expression / ceremony / style / enforcement regulations (of the ritsuryo)
しかる,叱る,to scold; to chide; to rebuke; to reprimand
実,み,"fruit; nut / seed / (in broth) pieces of meat, vegetable, etc. / content; substance"
者,もの,person
取れる,とれる,"to come off; to be removed / (of pain, a fever, etc.) to disappear / to be caught; to be harvested / to be interpreted (as); to be taken as / (of balance, etc.) to be attained / to be obtainable"
種,たね,seed (e.g. of a plant); pip; kind; variety; quality; tone / material (e.g. for an article); matter (e.g. of a story); subject; theme; (news) copy / ingredient; leaven (bread); main ingredient of a sushi / cause; source / trick; secret; magician's trick; inside story / paternal blood; lineage / breed (of a stock); sperm; semen
就く,つく,"to ascend (the throne); to accede / to take (seat, position, course, office, etc.); to assume; to be hired; to be employed / to start (on a journey); to commence; to depart / to study (under teacher); to be an apprentice"
臭い,くさい,stinking; smelly / suspicious; fishy / clumsy; unskilled / smelling of / looking like; appearing like; smacking of; -ish
いとこ,従兄弟,cousin (male)
ところで,所で,"by the way; incidentally / even if; no matter (who, what, when, where, why, how)"
いわゆる,所謂,what is called; as it is called; the so-called; so to speak
除く,のぞく,to remove; to eliminate; to eradicate / to exclude; to except
少しも,すこしも,anything of; not one bit (with negative sentence)
床,ゆか,floor / stage (for the narrator and the shamisen player) / dining platform built across a river
招く,まねく,to invite; to ask / to beckon; to wave someone in; to gesture to / to call in; to send for; to summon / to bring on oneself; to cause; to incur; to lead to; to result in
省く,はぶく,to omit; to leave out; to exclude; to eliminate / to curtail; to save; to cut down; to economize; to economise
象,ぞう,elephant (Elephantidae spp.)
上,かみ,upper reaches (of a river); upper stream / top; upper part; upper half (of the body) / long ago / beginning; first / person of high rank (e.g. the emperor) / government; imperial court / imperial capital (i.e. Kyoto); capital region (i.e. Kansai); region (or direction of) the imperial palace / head (of a table) / wife; mistress (of a restaurant)
上,じょう,"from the standpoint of; as a matter of (e.g. fact); in the field of; being of the type of / aboard (a ship or vehicle); on top of; on; above / first volume (e.g. book) / superior quality; best; top; high class / going up / governmental; imperial / presenting; showing / ana- (medical, biol.)"
場,ば,"place; spot; space / field; discipline; sphere; realm / occasion; situation / scene (of a play, movie, etc.) / session (of the stock market) / area in which cards are laid out (in a card game) / round (i.e. east, south, etc.) / field / field (gestalt psychology)"
触れる,ふれる,"to touch; to feel / to experience; to come in contact with; to perceive / to touch on (a subject); to allude to; to refer to; to mention / to be in conflict with; to violate (law, copyright, etc.); to infringe / to proclaim; to make known; to spread (e.g. a rumour)"
まさか,真逆,"by no means; never!; well, I never!; you don't say!; certainly (not) / something unexpected; emergency / currently; for the time being; presently; for now / indeed; really; truly; unexpectedly"
つらい,辛い,painful; bitter; heart-breaking; difficult (emotionally) / tough; difficult; hard (usu. of situations) / cruel; harsh; cold
進める,すすめる,"to advance; to move forward; to put (a clock, watch) forward / to carry forward (plans, work, etc.); to proceed with; to make progress in; to further; to advance; to hasten; to speed up / to raise; to elevate; to promote; to develop; to stimulate (e.g. one's appetite)"
震える,ふるえる,to shiver; to shake; to quake; to tremble; to quaver; to quiver
ついに,遂に,finally; at last / in the end
性,せい,nature (of a person) / sex / gender / -ty; -ity; -ness; -cy
生,なま,raw; uncooked; fresh / natural; as it is; unedited; unprocessed / unprotected (i.e. not wearing a condom) / live (i.e. not recorded) / inexperienced; unpolished; green; crude / impudence; sauciness / unpasteurized beer; draft beer; draught beer / just a little; somehow; vaguely; partially; somewhat; half-; semi- / irresponsibly; half-baked / cash / tipsiness
あいにく,生憎,"unfortunately; Sorry, but ..."
切れ,きれ,"piece; slice; strip; scrap / cloth / sharpness / counter for scraps, pieces, etc."
切れる,きれる,"to break; to snap; to be cut; to split; to crack / to be injured / to wear out; to be worn out / to break; to burst; to collapse / to wear off; to stop working; to go dead / to expire (time limit, etc.); to run out; to become due / to run out (of stock, etc.); to be exhausted; to be used up; to be sold out; to be out of / to be broken off (e.g. of a relationship); to break up; to have severed ties; to be cut off; to be disconnected / to cut well; to be sharp / to be sharp-minded; to be keen; to be shrewd; to be quick-witted; to be able / to be short of; to drop under (a certain figure); to beat (e.g. a record time) / to dry off / to curve; to veer / to shuffle (cards) / to get angry; to snap; to blow one's top; to lose one's temper; to flip / to be able to do completely"
