盆地,ぼんち,basin (e.g. between mountains)
蛍光灯,けいこうとう,fluorescent lamp; fluorescent light / person who is slow to react; someone slow on the uptake
差し支え,さしつかえ,hindrance; impediment
錆,さび,rust
静まる,しずまる,to become quiet; to quiet down; to quieten down / to calm down; to die down; to subside; to abate; to be suppressed
締め切る,しめきる,to close up; to shut up (e.g. behind doors) / to cut off (e.g. because a deadline has expired); to close off (e.g. subscription list)
芯,しん,wick; marrow; staple (for stapler); (pencil) lead; stuffing; pith / core; heart; centre; center
騒々しい,そうぞうしい,noisy; loud; boisterous; clamorous; raucous / turbulent; unsettled; restless
蓄える,たくわえる,"to store; to save up; to stock up on; to lay in stock; to set aside / to accumulate (e.g. knowledge); to build up (e.g. experience); to develop (e.g. one's skills) / to grow (a beard, moustache, etc.); to wear"
建つ,たつ,to be erected; to be built
例える,たとえる,to compare (something) to; to liken; to speak figuratively; to use a simile; to use a metaphor
着々,ちゃくちゃく,steadily
付き合う,つきあう,to associate with; to keep company with; to go out with; to go steady with; to get on with / to go along with; to follow someone's lead; to accompany someone; to compromise
出入り口,でいりぐち,exit and entrance
所々,ところどころ,here and there; some parts (of something); several places
飛び込む,とびこむ,to jump in; to leap in; to plunge into; to dive / to burst in; to barge in
採る,とる,"to adopt (method, proposal, etc.); to take (measure, course of action, etc.); to decide on / to pick (e.g. flowers); to gather (e.g. mushrooms); to catch (e.g. insects) / to extract (e.g. juice); to take (e.g. a sample) / to assume (an attitude) / to take on (workers, students); to employ; to hire / to draw in (e.g. water); to let in (e.g. light from a window)"
ならう,倣う,to imitate; to follow; to emulate
挟む,はさむ,"to hold between; to grip with (from both sides); to nip; to catch (e.g. one's finger in a door) / to put between; to sandwich between; to insert; to interpose; to interject / to be on either side of (a road, table, etc.); to be across (a street, river, etc.); to have between each other"
歯磨き,はみがき,dental brushing; brushing one's teeth / dentifrice; toothpaste; tooth powder
万歳,ばんざい,"crying ""banzai" (or raising one's hands in the banzai gesture) / something worthy of celebration / giving up / long time / eternal life (and prosperity) / banzai (a celebratory cheer); hurrah (hooray, hurray)"
日当たり,ひあたり,exposure to the sun; sunny place / per day
引き受ける,ひきうける,to take on; to undertake; to accept; to take charge of; to assume responsibility for / to take over; to inherit / to guarantee; to vouch for / to contract (a disease)
百科事典,ひゃっかじてん,encyclopedia; encyclopaedia
増やす,ふやす,to increase; to add to; to augment
振る舞う,ふるまう,to behave; to conduct oneself / to entertain; to treat someone (to a drink); to make tea for someone (tea ceremony)
包帯,ほうたい,bandage; dressing
干す,ほす,"to air; to dry; to desiccate / to drain (off) / to drink up / to deprive of a role, job, etc."
坊ちゃん,ぼっちゃん,son (of others); boy; young master / green young man from a well-to-do family; young man innocent of the ways of the world
混ざる,まざる,to be mixed; to be blended with; to associate with; to mingle with; to join
混じる,まじる,to be mixed; to be blended with; to associate with; to mingle with; to interest; to join
真っ青,まっさお,deep blue; bright blue / ghastly pale; pallid; white as a sheet
まれ,稀,rare; seldom
見かけ,みかけ,outward appearance / apparent
名字,みょうじ,surname; family name
もともと,元々,originally; by nature; from the start
悠々,ゆうゆう,quiet; calm; leisurely / distant; far off; boundless; endless / easily; comfortably; without difficulty
若々しい,わかわかしい,youthful; young; young-looking
嫌がる,いやがる,to hate; to dislike
打ち消す,うちけす,to deny; to contradict / to negate (esp. a sound); to drown out
応ずる,おうずる,to answer; to respond; to meet / to satisfy; to accept
感ずる,かんずる,to feel; to sense
塩辛い,しおからい,salty (taste); briny
思いがけない,おもいがけない,unexpected; contrary to expectations; by chance; casual
長引く,ながびく,to be prolonged; to drag on
残らず,のこらず,all; entirely; completely; without exception
日日,ひにち,the number of days; date
ふもと,麓,foot (of a mountain or hill); bottom; base
岬,みさき,cape (on coast)
道順,みちじゅん,itinerary; route
申し訳ない,もうしわけない,"I'm sorry; (it's) inexcusable; I feel regretful; I feel guilty / thank you very much (for help, etc.)"
地下水,ちかすい,underground water
各々,おのおの,each / you (plural)
おしゃれ,御洒落,smartly dressed; stylish; fashion-conscious / someone smartly dressed / to dress up; to be fashionable
その他,そのほか,etc.; otherwise; besides; in addition; the rest; the others; and so forth
アイデア,,idea
アクセント,,"accent (on a syllable, word); stress; pitch accent / intonation; inflection; cadence / (language) accent (e.g. American, British) / accent (e.g. in a design); highlight; emphasis / accent (on a note)"
アンテナ,,antenna / thing or method used to collect information or opinions
インタビュー,,"interview (i.e. television, newspaper, etc.)"
ウール,,wool
エチケット,,politeness; good manners; courtesy; etiquette
オーケストラ,,orchestra
オートメーション,,automation
オルガン,,organ (musical instrument)
カーブ,,curve; turn; bend / curveball; curve ball / (wine) cellar
カセット,,cassette (tape) / game cartridge
カバー,,cover; covering; dust jacket / cover song; cover version / coverage / to compensate for (a loss); to offset (a weakness); to back up
カラー,,collar / color; colour / hair colouring (coloring) / calla (variety of arum lily)
カロリー,,calorie
キャンパス,,campus
クーラー,,cooler; air conditioner
クリーニング,,cleaning; dry cleaning; laundry service
コース,,"course (route, trail, course of study, course of action, plan, option) / full course meal (multiple dishes served in sequence); prix fixe meal"
コック,,cook; chef / tap; spigot; faucet; cock / cock (male fowl) / cock (penis)
コンクール,,competition; contest
こんくりいと,混凝土,concrete
コンセント,,electrical outlet; wall socket; power plug
ゴム,護謨,gum; rubber / eraser / condom
サークル,,group with a common interest (e.g. students); club (e.g. company sports club); circle / circle (shape)
サイレン,,siren
サラリーマン,,office worker; company employee; company man
シーズン,,"season (fruits and vegetables, sporting, holidays)"
シーツ,,sheet; bed sheet
シャッター,,"camera shutter / shutter (door, window, etc.)"
シリーズ,,series
ジャーナリスト,,journalist
スクール,,school
スケジュール,,schedule
スタート,,start
スチュワーデス,,stewardess; (female) flight attendant
ステージ,,stage / performance
ストップ,,stop
スピーカー,,speaker
スマート,,smart; stylish / slim
スライド,,"slide / change (in value or situation); proportional change / to slide; to slip / to change (in value, e.g. with a sliding scale); to change (in situation)"
セメント,,cement
センチ,,centimeter; centimetre / centi-; 10^-2 / sentimental
ダイヤモンド,,"diamond (mineral, gemstone) / diamond; infield / diamond (card suit)"
ダイヤル,,"dial (e.g. telephone, radio, clock, gauge)"
ダブル,,double / double bed; hotel room with a double bed / double-breasted / double-cuffed / double width (of cloth; usu. 1.42 meters) / doubles (e.g. in tennis) / biracial person (esp. half-Japanese); person of mixed parentage
ダム,,dam / dumb
チョーク,,chalk / choke / chock
テーマ,,theme; topic; subject matter; motif; project; slogan
テンポ,,tempo
トレーニング,,training
ナイロン,,nylon
ナンバー,,number / number plate; license plate
ネックレス,,necklace
ハンドル,,handle / steering wheel / (bicycle) handlebar
バケツ,,bucket; pail / skip
バック,,back / backing; going backwards; reversing / background; background colour (color) / backhand / backer; supporter / refunding / backstroke (swimming) / doggy style (sexual position)
バランス,,balance
パターン,,pattern / behavioural pattern; behavioral pattern; predictability; force of habit
パンツ,,underpants; pants; briefs; panties; shorts; knickers / trousers (esp. women's); jodhpurs; breeches; pants; trunks (e.g. swimming)
ビタミン,,vitamin
ビニール,,vinyl / vinyl record
ピストル,,pistol
ピンク,,pink / erotic (usually used in relation to the sex industry); blue; pornographic
ファスナー,,fastener; zipper
フライパン,,fry pan; frying pan
ブラウス,,blouse
プラスチック,,plastic
プラットホーム,,platform
プリント,,print; copy / handout; flyer
プログラム,,program; programme
ヘリコプター,,helicopter
ベテラン,,person with a lot of experience; old hand; veteran (in a particular field)
ボーナス,,bonus
ポスター,,poster
マイナス,,"minus; negative (quantity); subtraction; taking away / deficit / disadvantage; drawback; handicap / negative (ion, pole, growth, image, effect, etc.)"
マスク,,(face) mask / (facial) features; looks / mask (e.g. for circuit etching)
マフラー,,muffler; scarf; comforter / muffler (for a vehicle exhaust); silencer
マラソン,,marathon; long-distance race / malathion
マンション,,condominium (often mid-rise or high-rise concrete); apartment building; apartment house; apartment; flat
ミシン,,sewing machine
ミリ,,milli-; 10^-3 / millimetre; millimeter
メーター,,meter; gauge / metre (i.e. 100 cm); meter / animator
メニュー,,menu / schedule; program; programme / (computer) menu
モーター,,motor
モダン,,modern
モデル,,"model; dummy; mock-up / model (profession); fashion model / model (of a car, etc.); make; version / model; example; template; standard / model (in model theory); theory / person a fictional character was modeled on; inspiration"
ラッシュアワー,,rush hour
ランチ,,lunch / (Western-style) single-plate lunch set; plate lunch; lunch set / launch (boat); motorboat / ranch
ランニング,,running / tank top
リズム,,rhythm
リットル,,litre
リボン,,ribbon
レジャー,,leisure
レベル,,level; standard; amount; degree; grade; rank; class / level (plane); floor; storey (story); layer; stratum / spirit level; (surveyor's) level / minor release sequence number (software versioning) / rebel
レンズ,,lens
ロッカー,,locker / rocker
ロビー,,lobby; lounge
ワンピース,,dress
いつの間にか,いつのまにか,before one knows; before one becomes aware of; unnoticed; unawares
歌謡,かよう,song; ballad
おかげさまで,お蔭様で,(I'm fine) thank you; thanks to you; fortunately; under the gods' shadow
ごちそうさま,ご馳走さま,thank you (for the meal); that was a delicious meal / thank you (for displaying lovey-dovey behaviour)
ご無沙汰,ごぶさた,"not writing or contacting for a while; neglecting (failing) to write (call, visit, etc.); long silence"
ごらん,ご覧,(please) try to / (please) look / seeing; looking; watching
合流,ごうりゅう,confluence (of rivers); merge (of traffic); conflux; junction; joining / union (e.g. of forces); linking up; merging; coming together
斬る,きる,"to kill (a human) using a blade (sword, machete, knife, etc.); to slice (off); to lop (off); to cut (off)"
初めに,はじめに,first; firstly; first of all; to begin with; in the beginning; at the beginning / Introduction; Preface
人命,じんめい,(human) life
先ほど,さきほど,some time ago; not long ago; just now
送料,そうりょう,postage; carriage; shipping charge
楕円,だえん,ellipse
抽象,ちゅうしょう,abstraction
気をつける,きをつける,to be careful; to pay attention; to take care
どく,退く,to step aside; to move (i.e. out of the way); to make way / to resign; to retire; to quit; to secede
絨毯,じゅうたん,carpet; rug; runner
ため息,ためいき,sigh
のんき,暢気,carefree; optimistic; careless; reckless; heedless; happy-go-lucky; easygoing; thoughtless
追いかける,おいかける,to chase; to run after; to pursue
ブラシ,,brush / brushy / blush
転々,てんてん,moving from place to place; being passed around repeatedly / rolling about
うっかり,,carelessly; thoughtlessly; inadvertently
うろうろ,,loiteringly; aimless wandering; restlessly
お手伝いさん,おてつだいさん,maid
かしこまりました,畏まりました,certainly!
ぎっしり,,tightly (packed); densely; closely; crammed
くしゃみ,嚏,sneeze / spoken twice in response to someone sneezing as a charm against an early death
くたびれる,草臥れる,to get tired; to be exhausted / to wear out; to be battered from long use
くっつく,くっ付く,to adhere to; to stick to; to cling to / to keep close to; to go along with / to get involved with; to be thick with; to become intimate
くっつける,くっ付ける,to attach; to stick together; to paste; to glue / to place together; to put side-by-side / to make someone get married; to get someone hitched
こっそり,,stealthily; secretly
さっさ,,promptly; immediately; quickly; without delay / indifferently
しつこい,執拗い,"insistent; obstinate; persistent; tenacious / too rich (taste, etc.); fatty; heavy; greasy"
しゃがむ,,to squat; to crouch
しゃっくり,吃逆,hiccough; hiccup
すっきり,,refreshingly; with a feeling of relief; pleasantly; (a weight) off one's shoulder / shapely; neatly; refinedly / cleanly; without trouble / clearly; plainly; distinctly / completely; thoroughly / not at all (with negative sentence); not even slightly
ずらす,滑らす,to shift; to slide (e.g. something away from something else); to move (e.g. something out of the way) / to put off; to delay; to postpone; to stagger (e.g. working hours)
そそっかしい,,careless; thoughtless; hasty; rash
そっと,,softly; gently; quietly / secretly; stealthily / to leave alone; to leave as it is
その上,そのうえ,in addition; furthermore / above (which); on top of (which)
だらしない,だらし無い,"slovenly (appearance, work, etc.); sloppy; untidy; undisciplined; careless; loose; slack / weak; feeble; weak-willed; gutless"
どうせ,,anyhow; in any case; at any rate; after all; at all; no matter what / at best; at most
ドキドキ,,thump-thump; bang-bang; pit-a-pat; pitapat; pitter-patter / to beat fast (of one's heart); to throb; to pound; to palpitate
のろのろ,,slowly; sluggishly
ピカピカ,,with a glitter; with a sparkle / brand new; shiny and new
ぶつかる,打つかる,to strike against; to collide with; to bump into; to conflict / to encounter; to meet / to clash
ぶつぶつ,,grunt; grumble; complaint; mutter / pimples; spots; eruption; rash / cutting into small pieces / simmering
ぶら下げる,ぶらさげる,to hang; to suspend; to dangle; to swing; to carry
まあまあ,,"so-so; passable / now, now / my, my"
まごまご,,confused; flustered; at a loss
めっきり,,remarkably
もしかしたら,若しかしたら,perhaps; maybe; perchance; by some chance; by any chance
もしかすると,若しかすると,perhaps; maybe; by some chance
やっぱり,矢っ張り,too; also; likewise; either / still; as before / even so; either way; after all; nonetheless; in any event; all the same / as expected
よこす,寄越す,to send; to forward / to hand over (e.g. money)
ニコニコ,,with a friendly grin; smilingly
ばね,発条,"spring (e.g. coil, leaf); mainspring; power spring"
フワフワ,,"lightly (floating, drifting, etc.); buoyantly / soft; fluffy; spongy / unsteadily; flightily; fickly; frivolously"
ペンチ,,cutting pliers; lineman's pliers; combination pliers
レインコート,,raincoat; mackintosh; macintosh; trench coat
レクリエーション,,recreation / re-creation
ローマ字,ローマじ,romaji; romanized Japanese; system of transliterating Japanese into the Latin alphabet / Latin alphabet; Roman alphabet
慰める,なぐさめる,to comfort; to console; to amuse
一休み,ひとやすみ,(short) rest; breather; break
いったん,一旦,once / for a short time; briefly; temporarily / one morning
あふれる,溢れる,to overflow; to brim over; to flood
よる,因る,"to be due to; to be caused by / to depend on; to turn on / to be based on; to come from / to be based at (a location, an organization); to be headquartered at"
ひっくり返る,ひっくりかえる,to be overturned; to be reversed; to turn over; to capsize / to fall down; to tumble down; to topple over; to lie on one's back
円周,えんしゅう,circumference
煙い,けむい,smoky
凹む,へこむ,to be dented; to be indented; to yield to; to give; to sink; to collapse; to cave in / to be overwhelmed; to feel down; to be forced to yield; to be daunted; to be snubbed
くだらない,下らない,good-for-nothing; stupid; trivial; worthless
仮名遣い,かなづかい,kana orthography; syllabary spelling
可愛がる,かわいがる,to love; to cherish; to be affectionate to; to treat tenderly; to dote on / to show favouritism to; to be partial to / to fondle; to caress; to pet / to be tough on; to be rough with; to torment; to train harshly
ほどく,解く,to undo; to untie; to unfasten; to unlace; to unravel; to loosen
各地,かくち,every place; various places
裂く,さく,"to tear; to rip up / to cut up; to cleave; to cut open (esp. the abdomen) / to forcibly separate (e.g. two lovers) / to spare (time, money, etc.); to use part of something / to have a tattoo in the corner of one's eye"
かっこ,括弧,parentheses; brackets
渇く,かわく,to be thirsty; to feel thirsty / to thirst for; to crave
巻く,まく,"to wind; to coil; to roll; to wear (e.g. turban, scarf) / to envelope; to shroud / to outflank; to skirt / to link (verse) / to move ahead (three hours, etc.); to move up"
やかましい,喧しい,noisy; loud; clamorous; boisterous / much talked of; much-discussed; vexed / strict; severe; stern / particular; fussy; fastidious; fault-finding; carping
漢和,かんわ,China and Japan / Chinese and Japanese (languages) / Chinese Character-Japanese dictionary
含める,ふくめる,to include (in a group or scope) / to instruct; to make one understand / to include (a nuance); to put in (an implication) / to put in (someone's) mouth / to permeate with flavor
かえって,却って,on the contrary; rather; all the more; instead
客間,きゃくま,drawing room; parlor; parlour; guest room
汲む,くむ,"to draw (water); to ladle; to dip up; to scoop up; to pump / to pour (into a cup); to drink (together) / to consider (feelings, the situation, etc.); to sympathize with; to intuit; to understand / to draw upon; to inherit"
響く,ひびく,to resound; to be heard far away / to reverberate; to shake; to vibrate / to come (home); to remain (with someone) / to have an effect; to make an impression
くず,屑,waste; scrap; garbage; dregs / chad
敬う,うやまう,to show respect for; to revere; to honour; to honor; to worship; to hold in esteem
つながり,繋がり,connection; link; relationship
つながる,繋がる,to be tied together; to be connected to; to be linked to / to lead to; to be related to / to be related (by blood)
あくび,欠伸,yawn; yawning / kanji "yawning" radical (radical 76)
みっともない,見っともない,shameful; disgraceful; indecent; unseemly; unbecoming; improper
謙遜,けんそん,modesty; humility; being humble
こしょう,胡椒,pepper
またぐ,跨ぐ,to step over; to step across; to stride over; to stride across; to cross / to stretch over; to span; to bridge; to saddle; to straddle
くれぐれも,呉れ呉れも,sincerely; earnestly / repeatedly; over and over; again and again
御中,おんちゅう,and Company; Messrs; for the attention of ...
ごめん,御免,your pardon; sorry; no thanks / not wanting; objecting to; being fed up with; wishing to avoid / permission; leave; dismissal; discharge
ごめんください,ご免ください,may I come in? / please forgive me; I'm sorry
厚かましい,あつかましい,impudent; shameless; brazen
たちまち,忽ち,in an instant; in a moment; immediately; right away; at once / suddenly; all of a sudden; all at once
こんばんは,今晩は,good evening
さようなら,左様なら,farewell; adieu; goodbye; so long
砕く,くだく,to break; to smash
砕ける,くだける,to break (into pieces); to be broken; to be smashed / to collapse; to crumble; to decline; to cool (e.g. enthusiasm); to dampen (e.g. one's will to fight) / to become less formal; to throw off reserve; to become affable / to become easy to understand (e.g. a story) / to be worried
祭日,さいじつ,national holiday; festival day
こする,擦る,to rub; to scrub; to scrape
雑巾,ぞうきん,house-cloth; dust cloth
錆びる,さびる,to rust; to become rusty
まく,撒く,"to scatter; to sprinkle; to strew / to distribute (handbills, etc.); to spread (rumours, etc.) / to give the slip; to throw off; to shake off; to lose"
散らかす,ちらかす,to scatter around; to leave untidy
四つ角,よつかど,four corners / crossroads; intersecting street; street corner
とっくに,疾っくに,long ago; already; a long time ago
射す,さす,to shine
煮える,にえる,to be boiled; to be cooked
取り入れる,とりいれる,to harvest; to reap / to take in; to gather in / to adopt (e.g. idea); to accept (e.g. advice); to introduce; to borrow (e.g. word)
蹴る,ける,to kick / to refuse; to reject
重たい,おもたい,heavy; massive; serious; important; severe; oppressed
縮める,ちぢめる,to shorten; to reduce; to condense; to shrink / to crumple (fabric); to wrinkle / to make (one's body) smaller; to draw in (one's legs); to duck (one's head)
縮れる,ちぢれる,to be wavy; to be curled; to be frizzled
出迎える,でむかえる,to meet; to greet
でたらめ,出鱈目,nonsense; irresponsible remark; codswallop; hogwash; rubbish / random; haphazard; unsystematic
小数,しょうすう,fraction (part of); decimal fraction
消防署,しょうぼうしょ,fire station
たたむ,畳む,"to fold (clothes, umbrella) / to close (a shop, business) / to vacate"
拭く,ふく,to wipe; to dry
しっぽ,尻尾,tail (animal)
ふりがな,振り仮名,furigana; kana over or beside kanji to indicate pronunciation
真似る,まねる,to mimic; to imitate
瀬戸物,せともの,earthenware; porcelain; china; pottery; crockery
整数,せいすう,integer
清書,せいしょ,clean copy
生える,はえる,to grow; to spring up; to sprout / to cut (teeth)
生ずる,しょうずる,to produce; to yield; to cause / to result from; to arise; to be generated
絶えず,たえず,constantly; always; continually; steadily
ちぎる,千切る,to tear to pieces; to tear to shreds; to tear up / to pick (e.g. fruit); to pluck; to tear off / to do ... heavily; to do ... heartily; to do ... vigorously
尖る,とがる,to taper to a point; to become pointed; to become sharp / to look displeased; to look sour; to be on edge; to be touchy
うらやましい,羨ましい,"envious (feeling, etc.); jealous / enviable (position, etc.)"
ようやく,漸く,finally; at last / barely; narrowly; hardly; only just / gradually; little by little; by degrees
さかのぼる,遡る,"to go upstream / to go back (in time, to origin); to date back to; to trace back to; to make retroactive"
さわやか,爽やか,fresh; refreshing; invigorating / clear (e.g. voice); fluent; eloquent
掃く,はく,to sweep; to brush; to clean / to gather silkworms
かく,掻く,to scratch / to perspire / to shovel; to paddle
送り仮名,おくりがな,kana written after a kanji to complete the full (usually kun) reading of the word; declensional kana ending
憎らしい,にくらしい,odious; hateful; detestable; horrible / (speaking ironically) darling
揃う,そろう,to be complete; to be all present; to make a full set; to be satisfied (of conditions) / to be equal; to be uniform; to be even; to match; to agree / to gather; to assemble; to be collected
揃える,そろえる,to collect; to gather; to get together; to complete (a collection) / to arrange; to put in order; to prepare; to get ready / to make uniform; to make even; to match
待合室,まちあいしつ,waiting room
退ける,のける,"to put something out of the way; to move (something, someone) aside / to remove; to exclude; to take away / to set aside; to keep apart / to remove (someone) from the group; to shun / to do well despite difficulties; to accomplish despite adversity / to do resolutely; to do boldly"
たいして,大して,(not so) much; (not) very
おとなしい,大人しい,obedient; docile; quiet
たいそう,大層,very; extremely; exceedingly; greatly; terribly / extreme; excessive; great many; large number of / splended; impressive; tremendous; immense / exaggerated
第一,だいいち,first; foremost; number one
ただし,但し,but; however; provided that
単数,たんすう,singular number
淡水,たんすい,fresh water (i.e. not salt water)
仲直り,なかなおり,reconciliation; make peace with
著す,あらわす,to write; to publish
しぼむ,萎む,"to wither (of flowers, dreams, etc.); to wilt; to droop; to shrivel; to fade (away); to sag; to deflate"
潰す,つぶす,"to smash; to crush; to flatten / to shut down; to put out of business; to force (a company) to close up shop / to wreck; to break; to block; to thwart / to butcher; to slaughter; to kill (livestock, for food) / to kill (time); to while away (the time) / to waste (e.g. talents)"
潰れる,つぶれる,to be crushed; to be smashed; to be broken; to collapse / to become useless; to cease functioning; to be wasted (e.g. time) / to go bankrupt; to go out of business; to fail
吊るす,つるす,to hang; to hang up
吊る,つる,to hang; to suspend; to sling; to wear (e.g. a sword); to put up (e.g. a shelf) / to hang oneself / to hoist an opponent off of his feet by his loincloth / to turn upwards (as if being pulled); to be slanted (of eyes) / to pucker (e.g. of a seam); to be pulled tight
釣り合う,つりあう,to balance; to be in harmony; to be in equilibrium / to suit; to go well together; to be a good match
かみそり,剃刀,razor
はしご,梯子,ladder / stairs / going to several places in succession (e.g. barhopping)
まとめる,纏める,to collect; to put (it all) together; to integrate; to consolidate; to unify / to summarize; to aggregate / to bring to a conclusion; to finalize; to settle; to put in order / to establish; to decide
つく,点く,to be lit (e.g. electricity comes on); to be lighted / to catch fire
田んぼ,たんぼ,paddy field; farm
